District_Name,SCHOOL,Gender,2011 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2012 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2013 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2014 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2015 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points
RUBIRIZI,,MALE,18,33.3,44.4,11.1,11.1,0,34,35.3,50,14.7,0,0,98,55.1,32.7,10.2,2,34,41.2,50,2.9,5.9,10,41.5,20,10,0
RUBIRIZI,RYERU SCHOOL,FEMALE,41,2.4,51.2,34.1,12.2,0,34,26.5,44.1,26.5,2.9,0,68,55.9,41.2,2.9,0,8,50,25,25,0,21,67.8,23.8,0,0
RUBIRIZI,,MALE,34,17.6,58.8,20.6,2.9,0,23,17.4,52.2,21.7,8.7,0,58,37.9,48.3,10.3,3.4,24,45.8,54.2,0,0,21,48.9,42.9,0,0
RUBIRIZI,"ST.MICHAEL HIGH SCHOOL,RUGAZI",FEMALE,6,50,33.3,0,16.7,0,10,0,30,50,20,0,24,58.3,33.3,8.3,0,12,58.3,33.3,8.3,0,7,57.1,42.9,0,0
RUBIRIZI,,MALE,23,30.4,43.5,17.4,8.7,0,27,3.7,40.7,37,18.5,0,58,41.4,51.7,6.9,0,16,43.8,43.8,12.5,0,20,35,55,10,0
RUBIRIZI Total,,,124,18.5,50.8,21.8,8.9,0,183,19.1,43.7,26.2,10.4,0.5,532,45.9,38.7,13.9,1.5,207,32.4,42.5,20.8,4.3,210,34.1,40,18.6,3.3
MITYANA,BUSUJJU SECONDARY SCHOOL,FEMALE,14,28.6,50,14.3,7.1,0,7,0,57.1,42.9,0,0,8,50,50,0,0,4,75,25,0,0,2,0,100,0,0
MITYANA,,MALE,15,40,40,13.3,6.7,0,5,60,40,0,0,0,18,88.9,11.1,0,0,8,75,25,0,0,8,37.5,37.5,25,0
MITYANA,BUSUUBIZI SECONDARY SCHOOL,FEMALE,20,25,70,5,0,0,,0,0,0,0,0,10,60,40,0,0,8,25,75,0,0,9,57.7,33.3,0,0
MITYANA,,MALE,12,33.3,16.7,50,0,0,,0,0,0,0,0,10,40,60,0,0,14,7.1,50,35.7,7.1,7,42.9,28.6,28.6,0
MITYANA,"CENTRAL COLLEGE,MITYANA",FEMALE,135,10.4,35.6,35.6,17,1.5,144,2.8,35.4,39.6,18.8,3.5,302,17.9,40.4,31.1,10.6,152,17.1,48.7,25,9.2,159,16.1,54.7,24.5,3.1
MITYANA,,MALE,208,9.6,29.3,32.7,24,4.3,196,7.1,41.3,26,18.9,6.6,428,19.6,47.7,25.2,7.5,256,18.8,35.2,32,14.1,258,20.3,45.7,24.4,7.4
MITYANA,"GLORY HIGH SCHOOL,MITYANA",FEMALE,17,29.4,52.9,11.8,5.9,0,5,20,40,20,20,0,12,66.7,33.3,0,0,5,20,80,0,0,11,81.8,18.2,0,0
MITYANA,,MALE,32,46.9,43.8,9.4,0,0,21,47.6,28.6,23.8,0,0,24,75,16.7,8.3,0,5,100,0,0,0,23,62.2,17.4,0,0
MITYANA,"HILLSIDE COLLEGE,MITYANA",FEMALE,,0,0,0,0,0,9,0,55.6,22.2,22.2,0,34,41.2,35.3,23.5,0,11,36.4,45.5,9.1,9.1,20,30,55,15,0
MITYANA,,MALE,,0,0,0,0,0,15,13.3,46.7,40,0,0,48,20.8,50,29.2,0,25,40,24,28,8,37,18.9,64.9,16.2,0
MITYANA,KALANGAALO SECONDARY SCHOOL,FEMALE,7,0,42.9,57.1,0,0,5,40,40,20,0,0,18,44.4,22.2,22.2,11.1,10,50,40,10,0,16,18.8,50,31.3,0
MITYANA,,MALE,9,22.2,55.6,22.2,0,0,7,14.3,14.3,0,57.1,14.3,26,53.8,23.1,23.1,0,20,45,25,25,5,26,39.6,46.2,11.5,0
MITYANA,KING FAISAL BBUYE ISLAMIC SS,FEMALE,,0,0,0,0,0,4,50,50,0,0,0,60,40,40,20,0,24,50,45.8,4.2,0,38,16.6,63.2,15.8,2.6
MITYANA,,MALE,,0,0,0,0,0,24,33.3,41.7,20.8,4.2,0,68,47.1,35.3,17.6,0,26,42.3,38.5,15.4,3.8,42,16.7,61.9,19,2.4
MITYANA,KIRYOKYA PARENTS SECONDARY SCHOOL,FEMALE,22,4.5,45.5,36.4,13.6,0,21,9.5,38.1,38.1,14.3,0,86,25.6,48.8,23.3,2.3,37,40.5,29.7,27,2.7,25,12,48,40,0
MITYANA,,MALE,24,0,50,41.7,8.3,0,25,12,32,40,12,4,78,23.1,61.5,15.4,0,29,31,58.6,10.3,0,22,36.9,50,9.1,0
MITYANA,KIWAWU SECONDARY SCHOOL,FEMALE,13,30.8,46.2,7.7,7.7,7.7,29,34.5,27.6,24.1,13.8,0,24,25,58.3,16.7,0,17,47.1,35.3,17.6,0,9,22.2,55.6,22.2,0
MITYANA,,MALE,11,9.1,54.5,27.3,9.1,0,24,8.3,45.8,29.2,16.7,0,62,51.6,35.5,12.9,0,20,55,30,15,0,22,22.7,59.1,18.2,0
MITYANA,"LEGACY SECONDARY SCHOOL,KIWAWU",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,6,33.3,33.3,33.3,0
MITYANA,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,4,50,25,25,0
MITYANA,"MITYANA COLLEGE,KIKUMBI",FEMALE,,0,0,0,0,0,11,18.2,27.3,36.4,9.1,9.1,32,18.8,31.3,50,0,9,0,44.4,44.4,11.1,10,20,20,40,20
MITYANA,,MALE,,0,0,0,0,0,19,5.3,52.6,31.6,10.5,0,68,35.3,44.1,17.6,2.9,17,17.6,41.2,35.3,5.9,13,15.4,23.1,38.5,23.1
MITYANA,MITYANA HALL,FEMALE,19,21.1,57.9,21.1,0,0,20,50,40,5,5,0,36,77.8,22.2,0,0,19,78.9,15.8,5.3,0,17,17.6,64.7,17.6,0
MITYANA,,MALE,24,29.2,37.5,29.2,0,4.2,25,44,36,16,4,0,62,64.5,25.8,6.5,3.2,23,69.6,30.4,0,0,13,15.4,61.5,23.1,0
MITYANA,MITYANA MODERN SECONDARY SCHOOL,FEMALE,45,0,11.1,31.1,46.7,11.1,24,0,29.2,33.3,33.3,4.2,94,19.1,29.8,44.7,6.4,47,12.8,38.3,34,14.9,32,31.3,34.4,34.4,0
MITYANA,,MALE,56,12.5,19.6,25,33.9,8.9,60,0,10,43.3,35,11.7,114,8.8,21.1,47.4,22.8,81,12.3,33.3,34.6,19.8,72,19.4,38.9,31.9,9.7
MITYANA,MITYANA SECONDARY SCHOOL,FEMALE,132,9.8,30.3,38.6,19.7,1.5,125,9.6,33.6,37.6,17.6,1.6,254,29.1,41.7,24.4,4.7,90,28.9,41.1,22.2,7.8,95,28.1,42.1,23.2,2.1
MITYANA,,MALE,167,10.8,32.9,35.9,16.8,3.6,186,11.8,40.9,29,16.1,2.2,282,27.7,45.4,22.7,4.3,114,19.3,44.7,27.2,8.8,129,28.5,43.4,20.9,3.9
MITYANA,MITYANA STANDARD SECONDARY SCHOOL,FEMALE,21,0,28.6,33.3,33.3,4.8,26,3.8,23.1,46.2,23.1,3.8,32,18.8,62.5,18.8,0,19,26.3,31.6,42.1,0,21,4.8,71.4,23.8,0
MITYANA,,MALE,24,8.3,33.3,45.8,12.5,0,31,3.2,16.1,38.7,29,12.9,66,18.2,36.4,30.3,15.2,21,9.5,52.4,33.3,4.8,30,13.3,36.7,46.7,3.3
MITYANA,MITYANA TOWN SCHOOL,FEMALE,20,45,25,30,0,0,21,14.3,76.2,9.5,0,0,38,52.6,47.4,0,0,18,27.8,44.4,27.8,0,20,35,45,20,0
MITYANA,,MALE,31,25.8,54.8,19.4,0,0,14,50,35.7,14.3,0,0,46,78.3,21.7,0,0,15,13.3,53.3,33.3,0,16,50,31.3,18.8,0
MITYANA,MITYANA TRINITY COLLEGE,FEMALE,26,19.2,34.6,23.1,19.2,3.8,38,15.8,52.6,23.7,7.9,0,54,37,44.4,18.5,0,18,33.3,61.1,5.6,0,3,33.3,66.7,0,0
MITYANA,,MALE,25,32,48,20,0,0,46,23.9,45.7,21.7,6.5,2.2,28,50,35.7,14.3,0,20,35,45,15,5,15,40,46.7,13.3,0
MITYANA,"MUMSA HIGH SCHOOL,MITYANA",FEMALE,43,14,27.9,32.6,18.6,7,32,12.5,15.6,25,37.5,9.4,102,13.7,58.8,23.5,3.9,52,30.8,38.5,17.3,13.5,41,9.8,46.3,29.3,14.6
MITYANA,,MALE,60,8.3,28.3,36.7,23.3,3.3,64,9.4,28.1,39.1,20.3,3.1,76,15.8,57.9,15.8,10.5,56,17.9,46.4,25,10.7,44,9.4,50,34.1,4.5
MITYANA,NAKWAYA SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,6,66.7,33.3,0,0,5,40,20,40,0,10,4.8,60,30,0
MITYANA,,MALE,,0,0,0,0,0,,0,0,0,0,0,18,66.7,22.2,11.1,0,10,50,30,20,0,21,33.3,47.6,19,0
MITYANA,NAMUTAMBA SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,6,33.3,66.7,0,0,,0,0,0,0,,0,0,0,0
MITYANA,,MALE,,0,0,0,0,0,,0,0,0,0,0,14,57.1,42.9,0,0,,0,0,0,0,,0,0,0,0
MITYANA,"PRIDE SECONDARY SCHOOL,MITYANA",FEMALE,46,30.4,41.3,23.9,2.2,2.2,42,26.2,52.4,11.9,9.5,0,102,41.2,31.4,23.5,3.9,50,28,34,34,4,42,29.3,47.6,19,0
MITYANA,,MALE,57,28.1,38.6,17.5,15.8,0,50,34,30,20,16,0,130,32.3,40,24.6,3.1,71,38,40.8,19.7,1.4,67,34.4,40.3,16.4,1.5
MITYANA,"REAL COLLEGE,BUSUNJU",FEMALE,17,29.4,47.1,17.6,5.9,0,14,42.9,57.1,0,0,0,,0,0,0,0,13,69.2,15.4,15.4,0,4,25,50,25,0
MITYANA,,MALE,26,57.7,30.8,11.5,0,0,26,53.8,30.8,15.4,0,0,,0,0,0,0,18,66.7,22.2,11.1,0,9,44.4,44.4,11.1,0
MITYANA,"ROYAL GIANT HIGH SCHOOL,MITYANA",FEMALE,55,7.3,29.1,45.5,12.7,5.5,36,11.1,25,36.1,19.4,8.3,82,22,61,14.6,2.4,45,15.6,40,35.6,8.9,20,15,50,25,10
MITYANA,,MALE,60,11.7,26.7,30,20,11.7,65,7.7,21.5,40,20,10.8,112,16.1,53.6,25,5.4,71,23.9,40.8,26.8,8.5,28,25.3,39.3,21.4,10.7
MITYANA,"SEESA HIGH SCHOOL,MITYANA",FEMALE,,0,0,0,0,0,14,28.6,50,21.4,0,0,20,50,50,0,0,12,33.3,66.7,0,0,9,22.2,77.8,0,0
MITYANA,,MALE,,0,0,0,0,0,15,13.3,40,40,0,6.7,30,33.3,46.7,20,0,15,20,33.3,46.7,0,9,11.1,77.8,11.1,0
MITYANA,SEKANYONYI SECONDARY SCHOOL,FEMALE,11,18.2,81.8,0,0,0,7,71.4,14.3,14.3,0,0,6,66.7,0,33.3,0,8,62.5,37.5,0,0,14,57.1,42.9,0,0
MITYANA,,MALE,8,50,37.5,12.5,0,0,22,50,36.4,13.6,0,0,18,55.6,33.3,0,11.1,12,33.3,58.3,8.3,0,13,39,15.4,7.7,0
MITYANA,SSINGO SECONDARY SCHOOL,FEMALE,17,29.4,41.2,17.6,11.8,0,16,12.5,50,31.3,6.3,0,66,63.6,30.3,6.1,0,40,52.5,37.5,10,0,23,18,47.8,30.4,0
MITYANA,,MALE,28,28.6,32.1,25,14.3,0,23,34.8,21.7,30.4,13,0,76,52.6,34.2,13.2,0,17,76.5,17.6,5.9,0,29,44.8,37.9,13.8,3.4
MITYANA,"ST.ELIZABETH GIRLS' SS,MITYANA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,28,50,42.9,7.1,0,17,58.8,17.6,17.6,5.9,19,15.8,47.4,31.6,5.3
MITYANA,"ST.FRANCIS SECONDARY SCHOOL,BUSUNJU",FEMALE,27,37,33.3,22.2,7.4,0,17,76.5,11.8,11.8,0,0,38,36.8,42.1,21.1,0,41,26.8,51.2,22,0,28,28.6,53.6,17.9,0
MITYANA,,MALE,43,41.9,39.5,16.3,2.3,0,28,39.3,35.7,25,0,0,70,40,54.3,5.7,0,39,25.6,20.5,38.5,15.4,50,23.7,36,32,2
MITYANA,"ST.JOHN'S SECONDARY SCHOOL,BUYAMBI",FEMALE,,0,0,0,0,0,3,0,33.3,66.7,0,0,8,0,50,50,0,5,20,80,0,0,9,11.1,55.6,33.3,0
MITYANA,,MALE,,0,0,0,0,0,16,6.3,50,31.3,12.5,0,18,11.1,55.6,33.3,0,9,33.3,44.4,22.2,0,11,36.4,54.5,9.1,0
MITYANA,"ST.JOSEPH'S SECONDARY SCHOOL,KAKINDU",FEMALE,28,10.7,39.3,35.7,10.7,3.6,27,14.8,48.1,25.9,11.1,0,38,36.8,47.4,15.8,0,12,16.7,33.3,50,0,11,9.1,45.5,45.5,0
MITYANA,,MALE,31,3.2,48.4,38.7,9.7,0,43,23.3,55.8,18.6,2.3,0,62,32.3,48.4,16.1,3.2,23,26.1,30.4,39.1,4.3,20,30.6,45,15,5
MITYANA,"ST.KIZITO HIGH SCHOOL,BETHANY",FEMALE,41,0,17.1,43.9,36.6,2.4,32,0,25,65.6,9.4,0,136,22.1,70.6,7.4,0,56,12.5,50,32.1,5.4,21,0,52.4,47.6,0
MITYANA,"TOWNSHIP SECONDARY SCHOOL,MITYANA",FEMALE,,0,0,0,0,0,1,100,0,0,0,0,,0,0,0,0,7,28.6,71.4,0,0,7,57.1,42.9,0,0
MITYANA,,MALE,,0,0,0,0,0,9,33.3,44.4,0,22.2,0,20,30,50,10,10,9,33.3,55.6,11.1,0,9,66.7,33.3,0,0
MITYANA,WAMALA HIGH SCHOOL,FEMALE,4,75,25,0,0,0,6,16.7,16.7,66.7,0,0,14,57.1,42.9,0,0,1,100,0,0,0,12,75,25,0,0
MITYANA,,MALE,12,41.7,25,33.3,0,0,5,80,20,0,0,0,26,69.2,30.8,0,0,9,66.7,11.1,11.1,11.1,7,16,71.4,0,0
MITYANA Total,,,1743,16.8,34.4,30.1,15.7,2.9,1800,16.6,36,29.6,14.7,3.2,3844,31.3,43.3,21,4.5,1905,28.5,39.5,24.8,7.3,1817,24.8,46.5,22.7,3.5
NWOYA,"ALERO SECONDARY SCHOOL,NWOYA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,0,0,100,0,1,100,0,0,0
NWOYA,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,13,84.6,15.4,0,0,17,68,29.4,0,0
NWOYA,KOCH GOMA SECONDARY SCHOOL,FEMALE,12,33.3,50,16.7,0,0,13,30.8,53.8,15.4,0,0,10,60,20,0,20,3,66.7,33.3,0,0,2,50,50,0,0
NWOYA,,MALE,37,37.8,54.1,5.4,0,2.7,29,37.9,41.4,13.8,6.9,0,46,69.6,30.4,0,0,14,64.3,28.6,7.1,0,12,75,25,0,0
NWOYA,"POPE PAUL VI SECONDARY SCHOOL,ANAKA",FEMALE,13,46.2,30.8,23.1,0,0,12,41.7,33.3,8.3,16.7,0,14,42.9,57.1,0,0,6,100,0,0,0,5,60,40,0,0
NWOYA,,MALE,43,34.9,58.1,7,0,0,33,24.2,60.6,9.1,6.1,0,98,59.2,30.6,10.2,0,35,48.6,31.4,17.1,2.9,30,60.8,33.3,0,0
NWOYA Total,,,105,37.1,52.4,9.5,0,1,87,32.2,49.4,11.5,6.9,0,168,60.7,32.1,6,1.2,72,62.5,25,11.1,1.4,67,64.8,31.3,0,0
NAKASEKE,"KALOKE CHRISTIAN HIGH SCHOOL,LUWEERO",FEMALE,,0,0,0,0,0,,0,0,0,0,0,18,33.3,66.7,0,0,4,25,75,0,0,7,28.6,42.9,28.6,0
NAKASEKE,,MALE,,0,0,0,0,0,,0,0,0,0,0,10,40,40,20,0,12,25,66.7,8.3,0,11,27.3,54.5,18.2,0
NAKASEKE,KAPEEKA SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,2,100,0,0,0,5,20,60,20,0,7,57.1,0,42.9,0
NAKASEKE,,MALE,,0,0,0,0,0,,0,0,0,0,0,42,33.3,42.9,19,4.8,12,25,50,25,0,9,22.2,66.7,11.1,0
NAKASEKE,KASANGOMBE SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,20,10,50,40,0,8,12.5,50,37.5,0,6,16.7,50,33.3,0
NAKASEKE,,MALE,,0,0,0,0,0,,0,0,0,0,0,20,30,50,20,0,7,28.6,71.4,0,0,6,66.7,33.3,0,0
NAKASEKE,KIJAGUZO SECONDARY SCHOOL,FEMALE,15,13.3,26.7,40,20,0,28,14.3,35.7,42.9,7.1,0,82,41.5,43.9,12.2,2.4,46,43.5,43.5,13,0,35,20,31.4,37.1,11.4
NAKASEKE,,MALE,32,9.4,34.4,34.4,21.9,0,44,18.2,56.8,22.7,2.3,0,96,47.9,37.5,12.5,2.1,62,45.2,35.5,17.7,1.6,47,22.3,40.4,31.9,0
NAKASEKE,KIWOKO SECONDARY SCHOOL,FEMALE,25,16,68,12,4,0,12,41.7,50,8.3,0,0,52,50,34.6,15.4,0,8,37.5,62.5,0,0,4,50,50,0,0
NAKASEKE,,MALE,37,35.1,48.6,13.5,2.7,0,53,28.3,49.1,17,5.7,0,64,46.9,46.9,6.3,0,27,81.5,7.4,11.1,0,13,53.8,46.2,0,0
NAKASEKE,"MAZZOLDI COLLEGE,NAKASEKE",FEMALE,12,0,25,50,25,0,8,12.5,62.5,25,0,0,18,55.6,44.4,0,0,13,23.1,61.5,7.7,7.7,9,12.8,66.7,11.1,0
NAKASEKE,,MALE,9,0,33.3,33.3,33.3,0,8,0,37.5,62.5,0,0,44,40.9,45.5,13.6,0,16,37.5,25,31.3,6.3,18,39.9,33.3,22.2,0
NAKASEKE,MULAMA SECONDARY SCHOOL,FEMALE,41,31.7,29.3,31.7,7.3,0,45,22.2,60,15.6,0,2.2,20,20,50,20,10,13,23.1,23.1,53.8,0,21,30,28.6,33.3,0
NAKASEKE,,MALE,36,27.8,41.7,16.7,11.1,2.8,23,26.1,43.5,13,17.4,0,42,33.3,47.6,14.3,4.8,13,23.1,46.2,30.8,0,18,22.2,55.6,22.2,0
NAKASEKE,MUL-SSA HIGH SCHOOL,FEMALE,20,20,40,30,5,5,16,31.3,31.3,25,12.5,0,54,40.7,48.1,11.1,0,15,33.3,60,6.7,0,18,11.1,50,38.9,0
