District_Name,SCHOOL,Gender,2011 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2012 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,%21-25 Points,2013 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2014 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points,2015 Total,%0-5 Points,%6-10 Points,%11-15 Points,%16-20 Points
MOYO,,MALE,,0,0,0,0,0,,0,0,0,0,0,36,27.8,50,22.2,0,27,40.7,37,22.2,0,24,41.7,41.7,16.7,0
MOYO Total,,,216,41.2,36.6,19,2.8,0.5,165,35.2,37.6,21.2,4.8,1.2,338,47.9,43.2,8.9,0,128,39.8,43.8,14.8,1.6,129,61.8,31,3.9,0
NAKASONGOLA,"BETHEL ROYAL HIGH SCHOOL,NAKASONGOLA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,6,100,0,0,0,7,14.3,71.4,0,14.3,13,46.2,46.2,7.7,0
NAKASONGOLA,,MALE,,0,0,0,0,0,,0,0,0,0,0,24,58.3,25,16.7,0,22,45.5,40.9,13.6,0,12,10.1,66.7,16.7,0
NAKASONGOLA,CORNERSTONE LEADERSHIP ACADEMY,MALE,29,3.4,3.4,37.9,51.7,3.4,23,4.3,0,26.1,60.9,8.7,50,0,4,52,44,23,0,8.7,21.7,69.6,28,3.6,28.6,60.7,7.1
NAKASONGOLA,"EKITANGAALA SECONDARY SCHOOL,KAKOOGE",FEMALE,30,20,36.7,26.7,13.3,3.3,23,17.4,47.8,17.4,17.4,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
NAKASONGOLA,,MALE,32,18.8,37.5,34.4,3.1,6.3,28,7.1,46.4,39.3,7.1,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
NAKASONGOLA,EKITANGAALA TRANSFORMATION HIGH SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,52,46.2,26.9,26.9,0,18,44.4,44.4,11.1,0,17,41.2,41.2,17.6,0
NAKASONGOLA,,MALE,,0,0,0,0,0,,0,0,0,0,0,68,38.2,38.2,17.6,5.9,20,35,50,15,0,31,36.3,54.8,6.5,0
NAKASONGOLA,"KAKOOGE SECONDARY SCHOOL,NAKASONGOLA",FEMALE,9,33.3,44.4,0,22.2,0,6,0,50,33.3,16.7,0,34,29.4,52.9,17.6,0,7,0,42.9,57.1,0,8,0,50,50,0
NAKASONGOLA,,MALE,6,33.3,16.7,33.3,16.7,0,8,25,50,25,0,0,38,26.3,31.6,42.1,0,16,0,56.3,37.5,6.3,31,16.1,41.9,41.9,0
NAKASONGOLA,"KALONGO SEED SS,NAKASONGOLA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,14,57.1,28.6,14.3,0,3,66.7,0,33.3,0,1,100,0,0,0
NAKASONGOLA,,MALE,,0,0,0,0,0,,0,0,0,0,0,46,30.4,47.8,21.7,0,19,52.6,36.8,10.5,0,5,20,60,20,0
NAKASONGOLA,"KIROJO COLLEGE,NAKASONGOLA",FEMALE,17,23.5,41.2,29.4,5.9,0,10,20,50,20,10,0,22,72.7,27.3,0,0,13,30.8,46.2,15.4,7.7,7,0,100,0,0
NAKASONGOLA,,MALE,22,22.7,59.1,18.2,0,0,22,40.9,36.4,13.6,9.1,0,62,51.6,38.7,9.7,0,27,40.7,44.4,14.8,0,8,12.5,62.5,25,0
NAKASONGOLA,KISAALIZI SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3,100,0,0,0,3,33.3,66.7,0,0
NAKASONGOLA,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,9,77.8,22.2,0,0,19,56.2,36.8,5.3,0
NAKASONGOLA,MIGYERA UWESO SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,11,63.6,27.3,9.1,0,0,18,55.6,44.4,0,0,,0,0,0,0,,0,0,0,0
NAKASONGOLA,,MALE,,0,0,0,0,0,15,40,33.3,26.7,0,0,30,60,33.3,6.7,0,,0,0,0,0,,0,0,0,0
NAKASONGOLA,NAKASONGOLA ARMY SCHOOL,FEMALE,31,25.8,48.4,22.6,3.2,0,27,14.8,40.7,40.7,3.7,0,54,40.7,48.1,11.1,0,7,28.6,57.1,14.3,0,3,0,100,0,0
NAKASONGOLA,,MALE,40,22.5,35,37.5,5,0,60,18.3,55,21.7,5,0,158,45.6,43,11.4,0,32,46.9,40.6,12.5,0,27,33.6,59.3,3.7,0
NAKASONGOLA,NAKASONGOLA HALL,FEMALE,12,66.7,25,8.3,0,0,10,20,40,30,10,0,10,80,20,0,0,1,100,0,0,0,,0,0,0,0
NAKASONGOLA,,MALE,35,51.4,37.1,8.6,2.9,0,15,26.7,60,13.3,0,0,22,45.5,45.5,9.1,0,12,75,16.7,8.3,0,,0,0,0,0
NAKASONGOLA,NAKASONGOLA SECONDARY SCHOOL,FEMALE,16,50,12.5,25,12.5,0,16,25,25,43.8,6.3,0,40,40,60,0,0,17,23.5,70.6,5.9,0,7,1,85.7,0,0
NAKASONGOLA,,MALE,47,27.7,44.7,23.4,4.3,0,46,28.3,39.1,26.1,6.5,0,134,62.7,29.9,7.5,0,68,50,36.8,13.2,0,46,48.7,39.1,4.3,2.2
NAKASONGOLA,ST.JOSEPH'S VOCATIONAL HIGH SCHOOL,FEMALE,7,57.1,14.3,28.6,0,0,16,56.3,18.8,18.8,6.3,0,20,80,20,0,0,8,100,0,0,0,7,32,42.9,0,0
NAKASONGOLA,,MALE,26,34.6,53.8,7.7,3.8,0,36,22.2,52.8,22.2,2.8,0,20,70,20,10,0,15,80,0,20,0,12,42.6,50,0,0
NAKASONGOLA. Total,,,359,29,36.8,24,9.2,1.1,372,23.7,41.1,25.3,9.4,0.5,922,46.6,35.8,14.8,2.8,347,42.7,37.2,14.7,5.5,285,29.6,48.8,17.2,1.1
KWEEN,CHEMANGA SEED SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,10,60,40,0,0,9,55.6,44.4,0,0,2,0,100,0,0
KWEEN,,MALE,,0,0,0,0,0,,0,0,0,0,0,48,66.7,33.3,0,0,24,75,25,0,0,20,48.3,40,0,0
KWEEN,CHEMWANIA HIGH SCHOOL,FEMALE,32,43.8,34.4,21.9,0,0,33,30.3,57.6,12.1,0,0,84,47.6,50,2.4,0,33,42.4,45.5,12.1,0,37,32.4,56.8,10.8,0
KWEEN,,MALE,58,39.7,50,10.3,0,0,97,30.9,48.5,18.6,1,1,200,53,36,11,0,97,56.7,33,10.3,0,59,51.2,45.8,0,0
KWEEN,"KWORUS SECONDARY SCHOOL,KWEEN",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,2,0,100,0,0
KWEEN,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,24,75,25,0,0
KWEEN. Total,,,90,41.1,44.4,14.4,0,0,130,30.8,50.8,16.9,0.8,0.8,342,53.8,39.2,7,0,163,56.4,35,8.6,0,144,46.8,45.8,2.8,0
SIRONKO,BUDADIRI GIRLS' SECONDARY SCHOOL,FEMALE,38,42.1,42.1,13.2,0,2.6,22,31.8,50,18.2,0,0,52,53.8,38.5,7.7,0,6,66.7,0,33.3,0,8,50,50,0,0
SIRONKO,,MALE,6,33.3,33.3,33.3,0,0,13,7.7,53.8,23.1,7.7,7.7,,0,0,0,0,4,25,25,0,50,4,25,25,50,0
SIRONKO,BUGUNZU SEED SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,32,93.8,6.3,0,0,10,40,50,10,0,5,22.1,60,0,0
SIRONKO,,MALE,,0,0,0,0,0,,0,0,0,0,0,76,73.7,23.7,2.6,0,14,71.4,14.3,14.3,0,23,72.2,17.4,0,0
SIRONKO,BUHUGU SECONDARY SCHOOL,FEMALE,15,53.3,40,6.7,0,0,4,75,25,0,0,0,16,87.5,12.5,0,0,6,66.7,33.3,0,0,6,52.1,16.7,16.7,0
SIRONKO,,MALE,45,37.8,44.4,17.8,0,0,20,60,20,20,0,0,54,66.7,33.3,0,0,8,62.5,25,12.5,0,17,66.1,23.5,0,0
SIRONKO,BUMASIFA SEED SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,4,100,0,0,0,8,62.5,37.5,0,0
SIRONKO,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,16,37.5,43.8,12.5,6.3,16,25,62.5,12.5,0
SIRONKO,"HIGHWAY SECONDARY SCHOOL,SIRONKO",FEMALE,10,10,40,50,0,0,10,20,60,10,0,10,8,50,50,0,0,8,87.5,12.5,0,0,1,100,0,0,0
SIRONKO,,MALE,17,29.4,58.8,5.9,5.9,0,20,20,55,25,0,0,16,62.5,25,12.5,0,14,92.9,7.1,0,0,4,51.4,25,0,0
SIRONKO,MASABA SECONDARY SCHOOL,FEMALE,28,21.4,46.4,17.9,14.3,0,32,9.4,53.1,34.4,3.1,0,54,22.2,55.6,22.2,0,34,20.6,58.8,17.6,2.9,19,42.1,52.6,5.3,0
SIRONKO,,MALE,69,17.4,43.5,26.1,13,0,75,26.7,48,22.7,2.7,0,114,29.8,45.6,22.8,1.8,51,17.6,49,31.4,2,66,42.2,39.4,12.1,0
SIRONKO,NAKIRUNGU SECONDARY SCHOOL,FEMALE,9,66.7,33.3,0,0,0,9,33.3,55.6,11.1,0,0,8,75,25,0,0,4,75,25,0,0,,0,0,0,0
SIRONKO,,MALE,37,45.9,45.9,8.1,0,0,33,63.6,33.3,3,0,0,32,81.3,18.8,0,0,15,53.3,46.7,0,0,10,90.8,0,0,0
SIRONKO,SIRONKO PARENTS SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,8,37.5,37.5,25,0,0,66,69.7,30.3,0,0,23,56.5,34.8,8.7,0,23,39.1,52.2,8.7,0
SIRONKO,,MALE,,0,0,0,0,0,46,28.3,54.3,10.9,6.5,0,172,65.1,29.1,3.5,2.3,49,59.2,34.7,4.1,2,60,57.1,30,3.3,0
SIRONKO,SIRONKO PROGRESSIVE SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,15,13.3,66.7,13.3,6.7,0,32,50,37.5,12.5,0,26,57.7,42.3,0,0,18,42.2,38.9,5.6,0
SIRONKO,,MALE,,0,0,0,0,0,37,45.9,43.2,10.8,0,0,148,56.8,33.8,9.5,0,47,57.4,36.2,4.3,2.1,51,47.6,41.2,0,0
SIRONKO Total,,,274,32.8,44.2,17.5,5.1,0.4,344,32.3,47.4,17.4,2.3,0.6,880,58.4,33,8,0.7,339,49.9,37.5,10.6,2.1,339,49.8,36.9,5.6,0
AMURU,KEYO SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,14,7.1,78.6,14.3,0,0,14,85.7,14.3,0,0,2,100,0,0,0,3,3,66.7,0,0
AMURU,,MALE,,0,0,0,0,0,29,27.6,37.9,34.5,0,0,66,81.8,18.2,0,0,23,78.3,17.4,4.3,0,21,64.8,19,0,0
AMURU,LACOR SEMINARY,MALE,13,15.4,38.5,46.2,0,0,17,29.4,47.1,23.5,0,0,26,23.1,69.2,7.7,0,20,15,60,25,0,24,25,62.5,12.5,0
AMURU,PABO SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2,100,0,0,0,3,86.7,0,0,0
AMURU,,MALE,,0,0,0,0,0,,0,0,0,0,0,22,45.5,54.5,0,0,10,70,30,0,0,9,38.2,44.4,0,0
AMURU,"RESTORE LEADERSHIP HIGH SCHOOL,GULU",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,10,20,40,40,0
AMURU,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,15,0,40,60,0
AMURU Total,,,13,15.4,38.5,46.2,0,0,60,23.3,50,26.7,0,0,128,64.1,34.4,1.6,0,57,56.1,33.3,10.5,0,85,32.9,41.2,18.8,0
BUGIRI,"BANDA SECONDARY SCHOOL,BUGIRI",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3,33.3,33.3,33.3,0,2,20,50,0,0
BUGIRI,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,11,63.6,36.4,0,0,9,11.1,66.7,22.2,0
BUGIRI,BUSWALE SECONDARY SCHOOL,FEMALE,5,60,20,20,0,0,7,0,85.7,14.3,0,0,4,50,0,0,50,11,81.8,18.2,0,0,5,23.1,40,20,0
BUGIRI,,MALE,20,35,35,25,5,0,21,66.7,23.8,4.8,4.8,0,86,72.1,20.9,7,0,28,42.9,39.3,17.9,0,8,50.6,25,12.5,0
BUGIRI,"DEDE SECONDARY SCHOOL,BUGIRI",FEMALE,13,30.8,46.2,15.4,7.7,0,12,50,16.7,16.7,16.7,0,16,75,25,0,0,6,33.3,33.3,16.7,16.7,5,20,80,0,0
BUGIRI,,MALE,51,58.8,25.5,15.7,0,0,48,29.2,50,12.5,8.3,0,88,38.6,47.7,13.6,0,24,37.5,54.2,8.3,0,16,31.7,25,37.5,0
BUGIRI,SIGULU SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,0,0,100,0,,0,0,0,0
BUGIRI,,MALE,,0,0,0,0,0,,0,0,0,0,0,22,63.6,36.4,0,0,9,55.6,22.2,22.2,0,,0,0,0,0
BUGIRI,"ST.PHILLIPS SECONDARY SCHOOL,LWANGOSIA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,10,20,40,40,0,1,0,0,100,0,3,47.6,0,0,0
BUGIRI,,MALE,,0,0,0,0,0,,0,0,0,0,0,42,47.6,42.9,9.5,0,10,60,30,10,0,21,47.6,52.4,0,0
BUGIRI Total,,,89,49.4,30.3,18,2.2,0,88,38.6,42,11.4,8,0,268,54.5,35.1,9.7,0.7,104,49,36.5,13.5,1,69,34.3,43.5,14.5,0
NAPAK,KANGOLE GIRLS' SCHOOL,FEMALE,13,53.8,30.8,15.4,0,0,17,5.9,52.9,41.2,0,0,32,18.8,56.3,18.8,6.3,13,15.4,46.2,23.1,15.4,21,9.5,76.2,14.3,0
NAPAK Total,,,13,53.8,30.8,15.4,0,0,17,5.9,52.9,41.2,0,0,32,18.8,56.3,18.8,6.3,13,15.4,46.2,23.1,15.4,21,9.5,76.2,14.3,0
BUTAMBALA,BUDDE SECONDARY SCHOOL,FEMALE,47,19.1,66,10.6,4.3,0,36,27.8,41.7,22.2,5.6,2.8,38,47.4,47.4,5.3,0,15,33.3,26.7,40,0,21,14.9,38.1,42.9,0
BUTAMBALA,,MALE,34,26.5,32.4,38.2,2.9,0,38,36.8,44.7,15.8,2.6,0,58,55.2,20.7,20.7,3.4,17,47.1,23.5,23.5,5.9,27,29.6,37,33.3,0
BUTAMBALA,BUDINSE MEMORIAL SCHOOL,FEMALE,14,21.4,64.3,7.1,7.1,0,29,6.9,62.1,27.6,3.4,0,38,21.1,47.4,31.6,0,15,0,0,73.3,26.7,26,0,30.8,65.4,3.8
BUTAMBALA,,MALE,22,27.3,45.5,27.3,0,0,34,5.9,55.9,32.4,2.9,2.9,50,4,68,24,4,28,7.1,14.3,67.9,10.7,15,0,33.3,60,6.7
BUTAMBALA,BULO PARENTS SECONDARY SCHOOL,FEMALE,68,0,27.9,42.6,27.9,1.5,130,3.8,19.2,42.3,27.7,6.9,192,4.2,37.5,47.9,10.4,131,13,45,30.5,11.5,85,17.6,47.1,31.8,3.5
BUTAMBALA,,MALE,100,3,18,49,23,7,149,1.3,16.8,42.3,31.5,8.1,226,4.4,31,51.3,13.3,156,7.7,50,28.8,13.5,134,21,49.3,28.4,0.7
BUTAMBALA,"BUTAWUKA MAGEZI NTAKE SS,MPIGI",FEMALE,,0,0,0,0,0,,0,0,0,0,0,48,29.2,37.5,25,8.3,28,28.6,46.4,21.4,3.6,28,10.7,42.9,39.3,7.1
BUTAMBALA,,MALE,,0,0,0,0,0,,0,0,0,0,0,90,35.6,44.4,15.6,4.4,35,42.9,42.9,14.3,0,36,13,30.6,38.9,11.1
BUTAMBALA,GOMBE SECONDARY SCHOOL,FEMALE,167,0.6,4.8,22.8,53.3,18.6,152,0,3.9,33.6,42.8,19.7,424,2.4,24.5,53.3,19.8,160,2.5,22.5,50,25,188,1.1,35.1,52.7,11.2
BUTAMBALA,,MALE,175,0.6,7.4,28,44,20,176,0,6.3,30.7,42.6,20.5,436,0.9,23.9,48.2,27.1,193,1.6,16.6,39.9,42,223,4.5,29.6,43.9,22
BUTAMBALA,KAGGULWE SECONDARY SCHOOL,FEMALE,5,20,20,40,20,0,14,21.4,35.7,35.7,0,7.1,30,46.7,26.7,26.7,0,20,25,45,30,0,13,30.8,53.8,15.4,0
BUTAMBALA,,MALE,12,41.7,33.3,25,0,0,18,0,61.1,38.9,0,0,34,52.9,41.2,5.9,0,21,14.3,61.9,14.3,9.5,8,12.5,50,37.5,0
BUTAMBALA,KAYENJE SECONDARY SCHOOL,FEMALE,35,14.3,48.6,31.4,2.9,2.9,25,12,32,44,12,0,58,37.9,48.3,13.8,0,20,5,55,30,10,14,21.4,57.1,21.4,0
BUTAMBALA,,MALE,28,25,42.9,14.3,17.9,0,41,12.2,34.1,43.9,9.8,0,74,45.9,32.4,16.2,5.4,26,26.9,57.7,11.5,3.8,24,16.7,70.8,12.5,0
BUTAMBALA,KIBIBI CENTRAL COLLEGE,FEMALE,14,14.3,42.9,35.7,7.1,0,10,30,30,30,10,0,8,0,75,25,0,10,40,50,10,0,17,58.8,23.5,17.6,0
BUTAMBALA,,MALE,23,47.8,26.1,21.7,4.3,0,8,12.5,75,12.5,0,0,16,50,50,0,0,4,25,50,25,0,12,25,58.3,16.7,0
BUTAMBALA,KIBIBI MUSLIM SECONDARY SCHOOL,FEMALE,53,49.1,35.8,13.2,1.9,0,44,25,43.2,25,6.8,0,132,31.8,47,19.7,1.5,65,26.2,47.7,21.5,4.6,52,39.3,40.4,13.5,1.9
BUTAMBALA,,MALE,54,48.1,37,14.8,0,0,64,28.1,35.9,32.8,3.1,0,124,21,54.8,24.2,0,66,34.8,40.9,21.2,3,50,28.8,52,14,0
BUTAMBALA,KIBIBI PARENTS SECONDARY SCHOOL,FEMALE,6,33.3,66.7,0,0,0,22,27.3,40.9,27.3,4.5,0,32,43.8,43.8,12.5,0,20,30,40,30,0,36,42.5,36.1,16.7,2.8
BUTAMBALA,,MALE,16,62.5,25,6.3,6.3,0,15,6.7,40,46.7,6.7,0,42,52.4,42.9,4.8,0,23,43.5,43.5,13,0,22,57.1,27.3,4.5,0
BUTAMBALA,KIBIBI SECONDARY SCHOOL,FEMALE,127,0,24.4,48,26.8,0.8,110,4.5,30,46.4,17.3,1.8,112,3.6,55.4,35.7,5.4,31,6.5,48.4,38.7,6.5,23,52.2,39.1,8.7,0
BUTAMBALA,,MALE,174,4.6,36.2,36.2,20.7,2.3,130,5.4,30,40.8,19.2,4.6,126,6.3,39.7,41.3,12.7,37,10.8,40.5,35.1,13.5,19,26.5,42.1,26.3,0
BUTAMBALA,KITAGOBWA SECONDARY SCHOOL,FEMALE,13,23.1,23.1,46.2,7.7,0,26,34.6,19.2,42.3,3.8,0,30,26.7,66.7,6.7,0,11,0,81.8,18.2,0,10,20,40,40,0
BUTAMBALA,,MALE,21,19,47.6,23.8,9.5,0,43,14,51.2,20.9,11.6,2.3,36,44.4,50,5.6,0,14,28.6,28.6,42.9,0,14,7.1,50,42.9,0
BUTAMBALA,LUKALU SECONDARY SCHOOL,FEMALE,34,29.4,35.3,23.5,11.8,0,51,11.8,51,23.5,13.7,0,68,8.8,64.7,26.5,0,23,13,47.8,26.1,13,12,8.3,75,16.7,0
BUTAMBALA,,MALE,45,22.2,53.3,17.8,6.7,0,52,11.5,34.6,36.5,17.3,0,46,13,65.2,17.4,4.3,26,23.1,46.2,26.9,3.8,7,42.9,42.9,14.3,0
BUTAMBALA,"LUUTU MEMORIAL COLLEGE,KIBIBI",FEMALE,,0,0,0,0,0,,0,0,0,0,0,16,75,12.5,12.5,0,6,33.3,50,16.7,0,5,63.7,20,0,0
BUTAMBALA,,MALE,,0,0,0,0,0,,0,0,0,0,0,30,46.7,40,13.3,0,11,54.5,36.4,9.1,0,19,34.9,52.6,5.3,0
BUTAMBALA,NGANDO SECONDARY SCHOOL,FEMALE,15,20,33.3,33.3,13.3,0,5,40,40,20,0,0,36,44.4,44.4,11.1,0,12,25,58.3,16.7,0,18,38.9,61.1,0,0
BUTAMBALA,,MALE,10,30,50,10,10,0,5,60,40,0,0,0,30,60,33.3,6.7,0,17,35.3,58.8,5.9,0,13,55.2,38.5,0,0
BUTAMBALA,NTANDA COLLEGE SCHOOL,FEMALE,7,28.6,57.1,14.3,0,0,9,44.4,33.3,22.2,0,0,20,30,60,10,0,10,60,40,0,0,4,25,75,0,0
BUTAMBALA,,MALE,8,0,75,25,0,0,18,38.9,33.3,27.8,0,0,56,32.1,53.6,14.3,0,9,44.4,44.4,11.1,0,7,57.1,28.6,14.3,0
BUTAMBALA,SAYIDINA ABUBAKAR SECONDARY SCHOOL, ,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1,0,100,0,0
BUTAMBALA,,FEMALE,22,22.7,36.4,22.7,13.6,4.5,38,15.8,42.1,28.9,13.2,0,46,47.8,34.8,13,4.3,29,20.7,58.6,17.2,3.4,18,11.8,55.6,11.1,16.7
BUTAMBALA,,MALE,17,17.6,58.8,23.5,0,0,32,9.4,37.5,40.6,12.5,0,86,41.9,39.5,18.6,0,33,12.1,45.5,39.4,3,20,25.5,50,15,5
BUTAMBALA Total,,,1366,13,28.8,29.6,22.6,5.9,1524,9.8,27.8,35,20.9,6.5,2888,18.3,38,33.5,10.2,1322,15.7,38.3,31.8,14.3,1221,18.1,40.8,32.4,7.2
ZOMBO,ALUKA SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,8,50,25,25,0,2,0,50,50,0,3,0,100,0,0
ZOMBO,,MALE,,0,0,0,0,0,,0,0,0,0,0,30,60,40,0,0,10,30,60,10,0,7,28.6,71.4,0,0
ZOMBO,PAIDHA SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,12,66.7,33.3,0,0,2,50,50,0,0,5,65.3,20,0,0
ZOMBO,,MALE,,0,0,0,0,0,,0,0,0,0,0,34,76.5,23.5,0,0,18,88.9,11.1,0,0,10,73.2,10,0,0
ZOMBO,PAKADHA SEED SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,4,100,0,0,0,4,25,75,0,0
ZOMBO,,MALE,,0,0,0,0,0,,0,0,0,0,0,30,46.7,53.3,0,0,9,66.7,22.2,0,11.1,10,60,40,0,0
ZOMBO,"ST.ALOYSIUS COLLEGE,NYAPEA",FEMALE,1,0,100,0,0,0,2,100,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
ZOMBO,,MALE,15,26.7,66.7,6.7,0,0,27,51.9,22.2,25.9,0,0,50,64,36,0,0,24,41.7,37.5,20.8,0,27,45.8,48.1,0,0
ZOMBO,WARR GIRLS' SECONDARY SCHOOL,FEMALE,11,36.4,36.4,18.2,9.1,0,17,35.3,47.1,17.6,0,0,20,70,30,0,0,7,71.4,14.3,14.3,0,8,50,37.5,12.5,0
ZOMBO,,MALE,,0,0,0,0,0,10,70,30,0,0,0,,0,0,0,0,3,100,0,0,0,2,100,0,0,0
ZOMBO Total,,,27,29.6,55.6,11.1,3.7,0,56,51.8,30.4,17.9,0,0,184,63,35.9,1.1,0,79,60.8,27.8,10.1,1.3,76,49.9,43.4,1.3,0
LIRA,ALEMERE COMPREHENSIVE SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,4,0,100,0,0,4,75,25,0,0,2,50,50,0,0
LIRA,,MALE,,0,0,0,0,0,,0,0,0,0,0,34,64.7,23.5,5.9,5.9,15,60,26.7,13.3,0,17,66.2,17.6,11.8,0
LIRA,AMACH COMPLEX SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,1,100,0,0,0,0,10,80,20,0,0,3,66.7,33.3,0,0,4,25,75,0,0
LIRA,,MALE,,0,0,0,0,0,23,39.1,52.2,8.7,0,0,66,69.7,24.2,6.1,0,19,52.6,31.6,10.5,5.3,15,54.1,33.3,6.7,0
LIRA,AMUCA SDA SECONDARY SCHOOL,FEMALE,31,25.8,61.3,12.9,0,0,19,52.6,31.6,10.5,5.3,0,42,76.2,23.8,0,0,24,62.5,33.3,4.2,0,3,0.8,66.7,0,0
LIRA,,MALE,59,47.5,40.7,11.9,0,0,43,55.8,34.9,7,2.3,0,80,67.5,30,2.5,0,36,63.9,30.6,5.6,0,17,66,17.6,0,0
LIRA,"BRIGHT LIGHT COLLEGE,LIRA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,4,75,0,25,0
LIRA,,MALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,16,75,25,0,0
LIRA,"COMBONI COLLEGE,LIRA",FEMALE,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,100,0,0,0,,0,0,0,0
LIRA,,MALE,53,9.4,50.9,32.1,7.5,0,38,15.8,47.4,23.7,10.5,2.6,154,46.8,39,13,1.3,52,40.4,42.3,15.4,1.9,43,27.9,67.4,4.7,0
LIRA,"DARA CHRISTIAN HIGH SCHOOL,LIRA",FEMALE,4,0,75,25,0,0,14,7.1,35.7,57.1,0,0,40,25,65,10,0,15,40,60,0,0,10,40,60,0,0
LIRA,,MALE,13,30.8,53.8,15.4,0,0,30,23.3,33.3,40,3.3,0,78,33.3,51.3,15.4,0,33,21.2,48.5,27.3,3,26,38.5,53.8,7.7,0
LIRA,"DR.OBOTE COLLEGE,BOROBORO",FEMALE,38,13.2,31.6,26.3,28.9,0,29,27.6,37.9,31,3.4,0,94,34,55.3,10.6,0,43,18.6,46.5,32.6,2.3,30,26.7,60,13.3,0
LIRA,,MALE,110,10.9,34.5,34.5,18.2,1.8,89,9,39.3,38.2,12.4,1.1,188,11.7,43.6,37.2,7.4,127,12.6,35.4,46.5,5.5,119,14.4,63.9,20.2,0.8
LIRA,"KING JAMES COMP. SS,LIRA",FEMALE,23,43.5,47.8,8.7,0,0,37,32.4,51.4,16.2,0,0,44,59.1,27.3,13.6,0,41,56.1,24.4,19.5,0,17,42.4,35.3,11.8,0
LIRA,,MALE,119,42,41.2,13.4,3.4,0,172,34.9,45.3,18.6,1.2,0,246,50.4,46.3,3.3,0,127,57.5,38.6,3.9,0,76,50.4,40.8,5.3,0
LIRA,KWERA SECONDARY SCHOOL,FEMALE,,0,0,0,0,0,,0,0,0,0,0,8,75,25,0,0,4,25,75,0,0,3,73.3,0,0,0
LIRA,,MALE,,0,0,0,0,0,,0,0,0,0,0,34,76.5,23.5,0,0,6,83.3,16.7,0,0,12,28.2,33.3,0,0
LIRA,"LANGO COLLEGE,LIRA",MALE,72,18.1,56.9,20.8,4.2,0,83,24.1,41,25.3,7.2,2.4,170,27.1,62.4,10.6,0,159,39.6,47.8,12.6,0,54,46.9,44.4,3.7,0
LIRA,"LEO ATUBO SECONDARY SCHOOL,LIRA",FEMALE,,0,0,0,0,0,7,57.1,28.6,14.3,0,0,18,100,0,0,0,13,46.2,53.8,0,0,7,73.7,14.3,0,0
LIRA,,MALE,,0,0,0,0,0,37,54.1,40.5,2.7,2.7,0,52,61.5,34.6,3.8,0,23,43.5,47.8,4.3,4.3,16,18.8,62.5,18.8,0
LIRA,LIRA HALL,FEMALE,6,66.7,33.3,0,0,0,9,66.7,22.2,0,11.1,0,8,100,0,0,0,21,57.1,28.6,14.3,0,1,2.2,0,0,0
